Date,Publication,Section,Page,Title,Author,External URL,CoE URL,Words,Language,Translation,Hide,Comment
05/29/25,Primavera,,,Entrevista a Chris Korda,Jaime,,https://www.churchofeuthanasia.org/press/primavera.html,796,Spanish,https://www.churchofeuthanasia.org/press/primavera_eng.html,,
02/17/25,Mixmag Spain,,,Chris Korda y Yoyaku relanzan el clásico 'The (Wo)Man Of The Future' en un vinilo doble,Fede Cortina,https://mixmag.es/read/chris-korda-y-yoyaku-relanzan-el-clasico-the-woman-of-the-future-en-un-vinilo-doble-news,https://www.churchofeuthanasia.org/press/mixmagspain_twmotf.html,351,Spanish,,,
09/26/24,A Cabine,,,Chris Korda está de volta ao país no início de outubro,Daniel Duque,https://acabine.pt/2024/09/chris-korda-esta-de-volta-ao-pais-no-inicio-de-outubro/,https://www.churchofeuthanasia.org/press/acabine.html,262,Portuguese,https://www.churchofeuthanasia.org/press/acabine_eng.html,,
08/29/24,Choices,,,Wir wollen Rituale kreieren,Christoph Zimmermann,https://www.choices.de/daniel-schuessler-save-the-planet-kill-yourself-tanzfaktur-technologiepark-studiobuehne,https://www.churchofeuthanasia.org/press/choices.html,1291,German,https://www.churchofeuthanasia.org/press/choices_eng.html,,
08/26/24,Mixmag Spain,,,Hablamos con Chris Korda sobre su nuevo álbum 'Avenging Angels Of Software',Fede Cortina,https://mixmag.es/read/hablamos-con-chriskorda-news,https://www.churchofeuthanasia.org/press/mixmagspain.html,1940,Spanish,https://www.churchofeuthanasia.org/press/mixmagspain_eng.html,,
07/03/24,Contemporary Art Library,,,Artist’s Con(tra)ception,,https://www.contemporaryartlibrary.org/project/chris-korda-at-kolnischer-kunstverein-cologne-33831,https://www.churchofeuthanasia.org/press/contemporaryartlibrary2.html,29,English,,,
06/27/24,Juno Daily,,,Chris Korda interview – “despite our hard-won wisdom we rampage like crazed beasts”,,https://www.juno.co.uk/junodaily/2024/06/27/chris-korda-interview-despite-our-hard-won-wisdom-we-rampage-like-crazed-beasts/,https://www.churchofeuthanasia.org/press/junodaily.html,1691,English,,,
06/18/24,KiVVON,Köln,,„Artist’s Con(tra)ception“: Kölnischer Kunstverein zeigt erste Ausstellung Chris Kordas in Deutschland,Jügen Schön,https://www.kivvon.com/de/koeln/artist-s-con-tra-ception-koelnischer-kunstverein-zeigt-erste-ausstellung-chris-kordas-in-deutschland,https://www.churchofeuthanasia.org/press/kivvon.html,667,German,https://www.churchofeuthanasia.org/press/kivvon_eng.html,,
06/10/24,Celebrity Café,,,Chris Korda - Alexandre Breton,Alexandre Breton,,https://www.churchofeuthanasia.org/press/celebritycafe.html,3078,French,https://www.churchofeuthanasia.org/press/celebritycafe-interview.html,,
05/31/24,Resident Advisor,,,"This week's new music: Chris Korda, Slim Soledad, Kamixlo",Michael Lawson,https://ra.co/news/80754,https://www.churchofeuthanasia.org/press/ra8.html,79,English,,,
05/29/24,Kölnische Rundschau,,,Golfender Donald Trump nebender Titanic,Jan Sting,,https://www.churchofeuthanasia.org/press/rundschau.html,564,German,https://www.churchofeuthanasia.org/press/rundschau_eng.html,,
05/24/24,Kölner Stadt-Anzeiger,Kultur & Medien,,Kölnischer Kunstverein - Chris Korda lädt uns zum kollektiven Freitod ein,Michael Kohler,https://www.ksta.de/kultur-medien/koelnischer-kunstverein-chris-korda-laedt-uns-zum-kollektiven-freitod-ein-799344,https://www.churchofeuthanasia.org/press/kolnerstadtanzeiger.html,799,German,https://www.churchofeuthanasia.org/press/kolnerstadtanzeiger_eng.html,,
05/23/24,Rolling Stone Italia,,,"Chris Korda: «Se l’umanità si estinguesse, la Terra starebbe molto meglio» ",Elisa Teneggi,https://www.rollingstone.it/musica/interviste-musica/chris-korda-se-lumanita-si-estinguesse-la-terra-starebbe-molto-meglio/909425/,https://www.churchofeuthanasia.org/press/rollingstoneitalia.html,3764,Italian,https://www.churchofeuthanasia.org/press/rollingstoneitalia_interview.html,,
04/22/24,Ouvert,People,,Interview with Chris Korda: “Not having children will save you much time and effort”,Andrea Dyrstad,https://ouvertmagazine.com/2024/04/22/interview-with-activist-and-artist-chris-korda/,https://www.churchofeuthanasia.org/press/ouvert.html,1731,English,,,
03/20/24,Têtu,Dancing Queer,143,Le classique international,Xavier Paufichet,,https://www.churchofeuthanasia.org/press/tetu2.html,142,French,https://www.churchofeuthanasia.org/press/tetu2_eng.html,,
01/24/24,Discours,Community,,“Save the planet - kill yourself”: Church of Euthanasia against everyone,Ekaterina Alexandrova,https://discours.io/articles/social/church-of-euthanasia,https://www.churchofeuthanasia.org/press/discours.html,5878,Russian,https://www.churchofeuthanasia.org/press/discours_eng.html,,
10/30/23,Bandcamp Daily,Features,,Chris Korda’s Complex Electronic Compositions Contemplate Collapse,Henry Ivry,https://daily.bandcamp.com/features/chris-korda-interview,https://www.churchofeuthanasia.org/press/bandcamp.html,1975,English,,,
10/09/23,Trommel,,,"Review: Chris Korda – Not My Problem, I'll be Dead EP [BBB]",Trommel Staff,https://trommelmusic.com/music/reviews/review-chris-korda-not-my-problem-ill-be-dead-ep-bbb/,https://www.churchofeuthanasia.org/press/trommel5.html,575,English,,,
10/01/23,The Wire,Soundcheck,49,"Chris Korda - Not My Problem, I'll Be Dead - Primitive Man",Claire Biddles,,https://www.churchofeuthanasia.org/press/thewire.html,362,English,,,
08/28/23,Beatburguer,,,Chris Korda: Primitive Man (YYK No Label),Miguel Pardo,https://beatburguer.com/chris-korda-primitive-man-yyk-no-label/,https://www.churchofeuthanasia.org/press/beatburguer2.html,518,Spanish,,,
06/10/23,Vakuum,,,Entschuldige dich bei der Zukunft,Anna Burai,,https://www.churchofeuthanasia.org/press/vakuum.html,2279,German,https://www.churchofeuthanasia.org/press/vakuum_eng.html,,
06/08/23,Resident Advisor,,,"Chris Korda - Not My Problem, I'll Be Dead",Henry Ivry,https://ra.co/reviews/35522,https://www.churchofeuthanasia.org/press/ra7.html,491,English,,,
05/20/23,Test Pressing,,,An Interview With Chris Korda By Josh M.A.D,Josh Ludlow,https://www.testpressing.org/magazine/an-interview-with-chris-korda-by-josh-m-a-d,https://www.churchofeuthanasia.org/press/testpressing.html,1140,English,,,
03/21/23,Beatburguer,,,"Chris Korda: Not My Problem, I’ll Be Dead",Julia Ortiz,https://beatburguer.com/chris-korda-not-my-problem-ill-be-dead-chris-korda/,https://www.churchofeuthanasia.org/press/beatburguer1.html,859,Spanish,https://www.churchofeuthanasia.org/press/beatburguer1_eng.html,,
03/19/23,Find Your Sounds,,,"Premiere : Chris Korda returns with her provocative club EP ‘Not My Problem, I’ll Be Dead’",Ozgur Timucin,https://findyoursounds.com/premiere-chris-korda-returns-with-her-provocative-club-ep-not-my-problem-ill-be-dead/,https://www.churchofeuthanasia.org/press/findyoursounds3.html,816,English,,,
03/15/23,Groove,Motherboard,,Motherboard: März 2023,Frank P. Eckert,https://groove.de/2023/03/15/motherboard-maerz-2023/5/,https://www.churchofeuthanasia.org/press/groove4.html,147,German,https://www.churchofeuthanasia.org/press/groove4_eng.html,,
02/20/23,Ransom Note,,,The DJ Pyramid,Chris Korda,https://www.theransomnote.com/commentary/opinion/the-dj-pyramid/,https://www.churchofeuthanasia.org/press/the_dj_pyramid.html,1354,English,,,
02/03/23,Kuba Paris,,,Indirect Methods – Chris Korda,,https://kubaparis.com/submission/288660,https://www.churchofeuthanasia.org/press/kubaparis.html,294,English,,,
01/19/23,24 Heures,,,Chris Korda dans ses cordes chez Circuit,Florence Millioud Henriques,https://www.24heures.ch/chris-korda-dans-ses-cordes-chez-circuit-641379796245,https://www.churchofeuthanasia.org/press/24heures.html,502,French,https://www.churchofeuthanasia.org/press/24heures_eng.html,,
01/01/23,Contemporary Art Library,,,Indirect Methods,,https://www.contemporaryartlibrary.org/project/chris-korda-at-circuit-centre-d-art-contemporain-lausanne-27214,https://www.churchofeuthanasia.org/press/contemporaryartlibrary.html,38,English,,,
12/15/22,Les Inrockuptibles,Arts & Scenes,,Nos 10 expos préférées de 2022,Ingrid Luquet-Gad,https://www.lesinrocks.com/arts-et-scenes/dix-expos-qui-ont-marque-2022-522059-15-12-2022/,https://www.churchofeuthanasia.org/press/lesinrockuptibles4.html,595,French,,,
11/30/22,Find Your Sounds,,,Chris Korda announces modern classical album ‘Indirect Methods’,Ozgur Timucin,https://findyoursounds.com/chris-korda-announces-modern-classical-album-indirect-methods-kevorkian-records/,https://www.churchofeuthanasia.org/press/findyoursounds2.html,426,English,,,
10/11/22,Trommel,,,Review: Chris Korda – More Than Four [CHXIV05],Jack Law,https://trommelmusic.com/music/review-chris-korda-more-than-four-chxiv05/,https://www.churchofeuthanasia.org/press/trommel4.html,488,English,,,
09/28/22,Daily Lazy,,,Chris Korda at Le Confort Moderne / Poitiers,,https://daily-lazy.com/2022/09/chris-korda-at-le-confort-moderne-poitiers.html,https://www.churchofeuthanasia.org/press/dailylazy.html,1314,English,,,
09/24/22,Groove,,,September 2022: Die essenziellen Alben (Teil 1),Andreas Cevatli,https://groove.de/2022/09/24/september-2022-die-essenziellen-alben-teil-1/,https://www.churchofeuthanasia.org/press/groove3.html,269,German,https://www.churchofeuthanasia.org/press/groove3_eng.html,,
09/22/22,Trou Noir,,,Chris Korda - Apologize to The Future,Marie Canet,https://www.trounoir.org/?Chris-Korda-Apologize-to-The-Future,https://www.churchofeuthanasia.org/press/trounoir.html,2023,French,https://www.churchofeuthanasia.org/press/trounoir_eng.html,,
09/19/22,Nowamuzyka,,,Chris Korda – More Than Four,Paweł Gzyl,https://www.nowamuzyka.pl/2022/09/19/chris-korda-more-than-four/,https://www.churchofeuthanasia.org/press/nowamuzyka.html,533,Polish,https://www.churchofeuthanasia.org/press/nowamuzyka_eng.html,,
09/05/22,CD HotList,Rock/Pop,,Chris Korda: More Than Four,Rick Anderson,https://cdhotlist.com/2022/09/05/september-2022/,https://www.churchofeuthanasia.org/press/cdhotlist.html,166,English,,,
08/26/22,Berghain,,,Interview with Chris Korda,Thilo Schneider,https://www.berghain.berlin/documents/201/berghain-flyer-2022-08.pdf,https://www.churchofeuthanasia.org/press/berghain.html,714,German,https://www.churchofeuthanasia.org/press/berghain_eng.html,,
08/24/22,Les Inrockuptibles,,,"La stratégie du choc Chris Korda, dernier espoir avant l’extinction?",Ingrid Luquet-Gad,https://www.lesinrocks.com/art/la-strategie-du-choc-chris-korda-dernier-espoir-avant-lextinction-493463-24-08-2022/,https://www.churchofeuthanasia.org/press/lesinrockuptibles3.html,1134,French,https://www.churchofeuthanasia.org/press/lesinrockuptibles3_eng.html,,
08/02/22,Muno,,,"Chris Korda wydaje kolejny album, którego nie potrafimy sklasyfikowac",Pawel Chalupa,https://muno.pl/news/chris-korda-wydaje-kolejny-album-ktorego-nie-potrafimy-sklasyfikowac/,https://www.churchofeuthanasia.org/press/muno.html,292,Polish,,,
08/01/22,La Libération,,,"Rencontre: Chris Korda, mortelle est la question",Marie Klock,https://www.liberation.fr/culture/arts/chris-korda-mortelle-est-la-question-20220801_FJVBVZKBCZHBJD7R6R7XWYEUKM/,https://www.churchofeuthanasia.org/press/laliberation.html,1646,French,https://www.churchofeuthanasia.org/press/laliberation_eng.html,,
07/28/22,Find Your Sounds,,,Chris Korda’s album ‘More Than Four’ created in odd time and complex polymeter is flagrant rhythmic heresy,Ozgur Timucin,https://findyoursounds.com/chris-kordas-album-more-than-four-created-in-odd-time-and-complex-polymeter-is-flagrant-rhythmic-heresy/,https://www.churchofeuthanasia.org/press/findyoursounds.html,625,English,,,
07/28/22,Resident Advisor,,,Chris Korda's second album of 2022 features odd time signatures and complex polymeter,Zoey Shopmaker,https://ra.co/news/77601,https://www.churchofeuthanasia.org/press/ra6.html,231,English,,,
07/27/22,ArtForum,Critics' Picks,,Chris Korda at Le Confort Moderne,Anya Harrison,https://www.artforum.com/picks/chris-korda-88845,https://www.churchofeuthanasia.org/press/artforum_poitiers.html,332,English,,,
07/22/22,Arts in the City,,,Exposition The (Wo)man of the Future de Chris Korda au Confort Moderne,Arnaud Chedal-Anglay,https://www.arts-in-the-city.com/2022/07/22/exposition-the-woman-of-the-future-de-chris-korda-au-confort-moderne/,https://www.churchofeuthanasia.org/press/artsinthecity.html,524,French,https://www.churchofeuthanasia.org/press/artsinthecity_eng.html,,
07/07/22,Frieze,,,Can Chris Korda Save the Planet?,Vincent Simon,https://www.frieze.com/article/chris-korda-woman-of-future-2022-review,https://www.churchofeuthanasia.org/press/frieze2.html,706,English,,,
07/02/22,CLOT Magazine,,,"An Ecological Provocatrice, a reflection on Chris Korda’s universe",Andra Amber Nikolayi,https://www.clotmag.com/oped/an-ecological-provocatrice-a-reflection-on-chris-kordas-universe-by-andra-amber-nikolayi,https://www.churchofeuthanasia.org/press/clot.html,2248,English,,,
07/01/22,Junk Page,Expositions,,Demander Pardon au Futur,Marc A. Bertin,https://www.junkpage.fr/demander-pardon-au-futur/,https://www.churchofeuthanasia.org/press/junkpage.html,835,French,https://www.churchofeuthanasia.org/press/junkpage_eng.html,,
06/20/22,Tissue Magazine,,,Chris Korda: The Heartbreaking Tragedy of Collective Failure,Jardin and Chris Korda,https://tissuemagazine.com/series/chris-korda/,https://www.churchofeuthanasia.org/press/tissue.html,3047,English,,,
06/16/22,Terraforma Journal,,,Chris Korda - The Wo(Man) of the Future,Costanza Candeloro,https://shop.terraformafestival.com/products/terraforma-journal-3,https://www.churchofeuthanasia.org/press/terraforma.html,2474,English,,,
06/08/22,La Nouvelle République,,,Poitiers : Grand bazar en vue au Confort moderne,Laurent Favreuille,https://www.lanouvellerepublique.fr/poitiers/poitiers-grand-bazar-en-vue-au-confort-moderne,https://www.churchofeuthanasia.org/press/lanouvellerepublique.html,133,French,https://www.churchofeuthanasia.org/press/lanouvellerepublique_eng.html,,
06/06/22,Les Inrockuptibles,,,Les 5 expos à ne pas rater en juin 2022,Ingrid Luquet-Gad,https://www.lesinrocks.com/arts-et-scenes/les-5-expos-a-ne-pas-rater-en-juin-2022-474666-06-06-2022/,https://www.churchofeuthanasia.org/press/lesinrockuptibles2.html,277,French,https://www.churchofeuthanasia.org/press/lesinrockuptibles2_eng.html,,
05/09/22,Journal of art & design HEAD – Genève,,,Issue #12 – De/production without cons/des/truction,Sylvain Menétrey,https://issue-journal.ch/focus-summaries/issue12-deproduction-without-cons-des-truction/,https://www.churchofeuthanasia.org/press/artdesignhead.html,395,English,,,
04/01/22,Field Notes Berlin,,,"Chris Korda – Passion for Numbers (Mental Groove, LP/digital)",,https://www.field-notes.berlin/de/festivals/58524/releases-des-monats/58526/releases-des-monats/99246/chris-korda-passion-for-numbers-mental-groove-lp-digital,https://www.churchofeuthanasia.org/press/fieldnotesberlin.html,113,English,,,
03/22/22,Beatburguer,,,Chris Korda: Passion for Numbers (Mental Groove) ,José Luis Moreno Rubio,https://beatburguer.com/chris-korda-passion-for-numbers-mental-groove/,https://www.churchofeuthanasia.org/press/beatburguer.html,958,Spanish,,,
03/07/22,Resident Advisor,,,Chris Korda announces two new albums and a retrospective exhibition in 2022,Katie Thomas,https://ra.co/news/76915,https://www.churchofeuthanasia.org/press/ra5.html,183,English,,,
02/14/22,Agente Provocador,,,Salva el planeta y ¡suicídate! Los suicidas de Barcelona,Doctor Peligro,http://www.agenteprovocador.es/publicaciones/salva-el-planeta-y-suicidate-los-suicidas-de-barcelona,https://www.churchofeuthanasia.org/press/agenteprovocador.html,1104,Spanish,https://www.churchofeuthanasia.org/press/agenteprovocador_eng.html,,
02/04/22,Daily Star,,,Twisted cult campaigned for all humanity to kill itself and provided instructions online,Kurt Robson,https://www.dailystar.co.uk/news/weird-news/twisted-cult-campaigned-humanity-kill-26141629,https://www.churchofeuthanasia.org/press/dailystar.html,440,English,,,
12/23/21,Objecthood,,,Chris Korda: A thin layer of oily rock,Roc Jiménez de Cisneros,https://rwm.macba.cat/en/specials/objecthood-8,https://www.churchofeuthanasia.org/press/objecthood.html,13012,English,,,
12/14/21,Trax,,,Chris Korda: Game Over,Quentin Grosset,https://www.traxmag.com/techno-apocalypse-et-euthanasie-chris-korda-annonce-le-game-over-ecologique/,https://www.churchofeuthanasia.org/press/traxmag.html,4838,French,https://www.churchofeuthanasia.org/press/traxmag_eng.html,,
08/20/21,Trommel,,,Chris Korda: A voice for the future,Francisco Cornejo de Souza,https://trommelmusic.com/featured/chris-korda-a-voice-for-the-future/,https://www.churchofeuthanasia.org/press/trommel3.html,3869,English,,,
04/15/21,Big Bang,,198,Suicide général?,Thomas Andrei,https://abonnement.sopress.net/common/product-article/1048,https://www.churchofeuthanasia.org/press/bigbang.html,3695,French,https://www.churchofeuthanasia.org/press/bigbang_eng.html,,
03/16/21,Ransom Note,,,'Apologize to the Future': Chris Korda on the crisis facing our planet,Rosie Cain,https://www.theransomnote.com/music/articles/apologize-to-the-future-chris-korda-on-the-crisis-facing-our-planet/,https://www.churchofeuthanasia.org/press/ransomnote2.html,2999,English,,,
03/12/21,Página 12,,,¿La música electrónica está muerta?,Aldo F. M. Benítez,https://www.pagina12.com.ar/328424-la-musica-electronica-esta-muerta,https://www.churchofeuthanasia.org/press/pagina12_2.html,1121,Spanish,https://www.churchofeuthanasia.org/press/pagina12_2_eng.html,,
03/10/21,VICE France,,,"VICE présente : Chris Korda, man of the future",Marc-Aurèle Baly,https://www.vice.com/fr/article/y3g7yw/vice-presente-chris-korda-man-of-the-future,https://www.churchofeuthanasia.org/press/vicefrance.html,469,French,https://www.churchofeuthanasia.org/press/rinse_france.html,,
03/01/21,Document Journal,,,Chris Korda’s booklist for black-pilled environmentalists,Chris Korda,https://www.documentjournal.com/2021/03/chris-kordas-booklist-for-black-pilled-environmentalists/,https://www.churchofeuthanasia.org/press/docjournal_oped.html,1939,English,,,
